filename,width,height,class,xmin,ymin,xmax,ymax
70.jpg,1640,922,search,1020,534,1244,751
143.jpg,1640,922,prohibited,968,563,1028,624
223.jpg,1640,922,stop,854,84,905,133
248.jpg,1640,922,prohibited,1184,520,1539,878
135.jpg,1640,922,prohibited,1180,522,1541,874
206.jpg,1640,922,prohibited,934,562,973,602
243.jpg,1640,922,stop,567,664,796,899
2.jpg,1640,922,prohibited,519,672,739,900
82.jpg,1640,922,prohibited,1004,570,1079,646
129.jpg,1640,922,search,1094,590,1205,700
3.jpg,1640,922,search,1081,604,1219,736
168.jpg,1640,922,stop,585,620,685,731
36.jpg,1640,922,search,694,264,781,351
153.jpg,1640,922,stop,1004,645,1246,883
54.jpg,1640,922,search,754,595,850,690
174.jpg,1640,922,search,755,596,831,671
232.jpg,1640,922,search,821,581,885,642
218.jpg,1640,922,search,951,563,1002,614
128.jpg,1640,922,prohibited,1015,532,1238,753
83.jpg,1640,922,search,1032,578,1119,665
145.jpg,1640,922,search,195,471,430,688
92.jpg,1640,922,prohibited,892,560,926,595
189.jpg,1640,922,search,853,567,918,633
245.jpg,1640,922,stop,1001,586,1081,665
96.jpg,1640,922,prohibited,1077,592,1169,696
31.jpg,1640,922,search,1177,525,1549,883
29.jpg,1640,922,stop,1037,580,1128,670
222.jpg,1640,922,stop,568,664,796,897
69.jpg,1640,922,stop,933,575,998,640
244.jpg,1640,922,search,938,573,988,622
21.jpg,1640,922,stop,816,236,908,326
24.jpg,1640,922,stop,1006,644,1249,885
32.jpg,1640,922,search,719,632,889,803
231.jpg,1640,922,stop,1103,586,1208,687
122.jpg,1640,922,search,1061,533,1232,732
72.jpg,1640,922,search,978,573,1052,647
179.jpg,1640,922,stop,776,589,844,655
40.jpg,1640,922,search,206,472,435,690
103.jpg,1640,922,stop,952,584,1037,666
156.jpg,1640,922,search,1008,637,1232,864
146.jpg,1640,922,stop,538,636,669,781
208.jpg,1640,922,search,1111,578,1204,667
162.jpg,1640,922,search,590,668,797,881
234.jpg,1640,922,search,813,430,904,505
95.jpg,1640,922,search,202,473,435,689
175.jpg,1640,922,stop,976,567,1029,621
216.jpg,1640,922,stop,979,564,1031,615
18.jpg,1640,922,stop,921,288,1025,387
240.jpg,1640,922,search,833,26,886,75
101.jpg,1640,922,search,752,599,836,681
35.jpg,1640,922,stop,949,528,1157,743
127.jpg,1640,922,search,336,580,698,922
99.jpg,1640,922,prohibited,926,560,962,595
115.jpg,1640,922,search,1061,531,1233,739
113.jpg,1640,922,stop,957,578,1031,650
132.jpg,1640,922,search,1004,635,1231,863
198.jpg,1640,922,search,598,567,756,770
181.jpg,1640,922,search,1313,626,1580,867
34.jpg,1640,922,prohibited,519,670,741,901
226.jpg,1640,922,stop,558,558,730,764
125.jpg,1640,922,search,888,565,922,601
142.jpg,1640,922,search,767,593,854,679
139.jpg,1640,922,prohibited,809,81,860,132
166.jpg,1640,922,prohibited,790,581,849,641
182.jpg,1640,922,stop,965,566,1031,630
225.jpg,1640,922,search,753,600,845,689
52.jpg,1640,922,stop,950,530,1158,743
108.jpg,1640,922,search,976,569,1051,646
59.jpg,1640,922,prohibited,1001,560,1069,628
151.jpg,1640,922,prohibited,521,672,738,902
43.jpg,1640,922,stop,1166,509,1543,870
158.jpg,1640,922,search,1021,536,1246,747
