filename,width,height,class,xmin,ymin,xmax,ymax
70.jpg,300,300,big,97,162,207,216
143.jpg,300,300,big,110,164,170,210
258.jpg,300,300,small,46,185,88,227
223.jpg,300,300,medium,132,169,214,242
360.jpg,300,300,small,180,181,217,227
248.jpg,300,300,medium,143,167,229,238
330.jpg,300,300,small,25,197,63,221
284.jpg,300,300,medium,127,172,235,259
135.jpg,300,300,big,109,165,175,212
206.jpg,300,300,medium,108,176,268,300
243.jpg,300,300,medium,52,173,117,224
2.jpg,300,300,big,117,165,240,252
82.jpg,300,300,big,48,158,299,299
129.jpg,300,300,medium,84,175,215,289
3.jpg,300,300,small,99,202,161,290
274.jpg,300,300,small,84,203,135,241
168.jpg,300,300,medium,116,164,184,239
257.jpg,300,300,small,70,202,118,236
36.jpg,300,300,medium,178,165,243,215
153.jpg,300,300,medium,121,171,175,217
153.jpg,300,300,small,22,204,72,236
54.jpg,300,300,small,150,191,197,224
174.jpg,300,300,medium,113,160,243,296
328.jpg,300,300,small,68,188,103,214
232.jpg,300,300,medium,92,172,172,242
232.jpg,300,300,small,229,200,300,254
218.jpg,300,300,medium,144,172,219,235
218.jpg,300,300,small,275,213,300,258
276.jpg,300,300,big,112,166,214,212
128.jpg,300,300,medium,95,172,171,242
128.jpg,300,300,small,229,200,300,253
83.jpg,300,300,big,2,167,197,300
145.jpg,300,300,big,112,165,219,244
92.jpg,300,300,small,152,208,226,266
189.jpg,300,300,medium,157,160,203,205
245.jpg,300,300,big,82,164,170,231
96.jpg,300,300,medium,94,173,171,242
96.jpg,300,300,small,228,201,300,253
288.jpg,300,300,small,172,188,203,217
31.jpg,300,300,big,100,168,170,216
29.jpg,300,300,medium,114,162,243,294
222.jpg,300,300,big,92,165,173,225
69.jpg,300,300,big,98,160,274,235
244.jpg,300,300,medium,89,173,184,258
21.jpg,300,300,small,155,197,209,234
24.jpg,300,300,small,147,187,183,210
319.jpg,300,300,medium,5,192,86,300
316.jpg,300,300,medium,71,172,122,217
316.jpg,300,300,small,1,206,29,240
32.jpg,300,300,big,91,159,236,228
231.jpg,300,300,big,152,169,258,243
122.jpg,300,300,medium,58,178,129,262
72.jpg,300,300,big,100,169,174,221
179.jpg,300,300,big,44,164,283,300
300.jpg,300,300,big,112,163,208,233
40.jpg,300,300,medium,127,170,208,241
40.jpg,300,300,small,1,227,36,285
103.jpg,300,300,medium,12,181,149,300
292.jpg,300,300,medium,143,170,243,259
156.jpg,300,300,medium,141,159,200,217
146.jpg,300,300,medium,120,164,204,243
208.jpg,300,300,medium,156,160,203,205
162.jpg,300,300,small,229,226,300,279
234.jpg,300,300,medium,1,180,62,258
356.jpg,300,300,small,143,183,179,209
255.jpg,300,300,medium,148,160,200,211
344.jpg,300,300,big,129,157,269,250
95.jpg,300,300,big,64,166,300,276
175.jpg,300,300,medium,90,176,175,250
279.jpg,300,300,medium,163,166,247,241
289.jpg,300,300,big,1,162,257,299
216.jpg,300,300,medium,1,180,122,300
18.jpg,300,300,small,175,176,300,268
240.jpg,300,300,big,132,167,227,220
275.jpg,300,300,big,43,165,299,300
355.jpg,300,300,small,159,193,208,230
101.jpg,300,300,medium,180,164,242,215
329.jpg,300,300,small,207,191,261,227
35.jpg,300,300,medium,134,172,224,241
350.jpg,300,300,small,148,207,228,279
127.jpg,300,300,big,1,172,99,224
99.jpg,300,300,medium,169,164,246,230
115.jpg,300,300,medium,87,166,152,228
113.jpg,300,300,small,184,187,216,207
132.jpg,300,300,small,122,189,161,244
198.jpg,300,300,big,46,156,299,299
325.jpg,300,300,big,92,156,243,239
305.jpg,300,300,big,103,164,297,300
359.jpg,300,300,medium,82,164,147,227
181.jpg,300,300,big,78,163,198,223
34.jpg,300,300,small,1,217,66,259
259.jpg,300,300,big,12,159,223,269
226.jpg,300,300,big,106,161,247,226
125.jpg,300,300,small,142,184,172,204
265.jpg,300,300,medium,148,167,209,220
265.jpg,300,300,small,246,189,300,227
142.jpg,300,300,medium,1,181,122,300
139.jpg,300,300,medium,136,176,237,269
166.jpg,300,300,small,159,224,248,292
182.jpg,300,300,medium,139,167,208,215
225.jpg,300,300,big,47,160,300,299
353.jpg,300,300,small,206,235,299,300
52.jpg,300,300,small,126,214,198,264
277.jpg,300,300,big,81,166,176,234
108.jpg,300,300,medium,111,163,173,231
59.jpg,300,300,medium,145,171,268,277
151.jpg,300,300,small,1,237,88,299
341.jpg,300,300,medium,48,178,127,250
297.jpg,300,300,big,110,165,220,215
342.jpg,300,300,medium,118,162,193,232
158.jpg,300,300,small,155,195,207,233
346.jpg,300,300,big,108,157,297,249
43.jpg,300,300,big,113,165,187,220
